Latitude,Longitude,Crash Type,geometry,Presence of guardrails,Cable barriers,Rumble strips,Pavement condition,Proximity to highway entrances and exits,Urban vs. rural environment,Surrounding natural features,Number of lanes,Shoulder type and width,Posted speed limit,Presence and type of median or divider,Lane markings and signage visibility,Nighttime lighting and visibility
35.80228,-88.33576,Property Damage,POINT (-88.33576 35.80228),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80177,-88.33938,Property Damage,POINT (-88.33937999999999 35.80176999999999),0,0,2,3,0,0,0,2,2,4,2,1,0
35.80142,-88.34003,Property Damage,POINT (-88.34003 35.80142),0,0,2,3,0,0,0,2,2,4,2,1,0
35.80135,-88.34061,Property Damage,POINT (-88.34061 35.801350000000006),0,0,2,3,0,0,0,2,2,4,2,1,0
35.80131,-88.34078,Property Damage,POINT (-88.34078 35.801309999999994),0,0,2,3,0,0,0,2,2,4,2,1,0
35.80138,-88.34211,Property Damage,POINT (-88.34211 35.80138),1,0,2,3,0,0,0,2,2,4,2,1,0
35.80112,-88.34391,Property Damage,POINT (-88.34391 35.80112),1,0,2,3,0,0,0,2,2,4,2,1,0
35.80085,-88.34405,Property Damage,POINT (-88.34405 35.80085),2,0,2,3,0,0,0,2,2,4,2,1,0
35.80081,-88.34611,Property Damage,POINT (-88.34611 35.800810000000006),2,0,2,3,0,0,0,2,2,4,3,1,0
35.8006,-88.34746,Property Damage,POINT (-88.34746 35.800599999999996),2,0,2,3,0,0,0,2,2,4,3,1,0
35.80059,-88.34763,Property Damage,POINT (-88.34763 35.80059),2,0,2,3,0,0,0,2,2,4,3,1,0
35.79999,-88.35189,Property Damage,POINT (-88.35189 35.79999),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79998,-88.35193,Property Damage,POINT (-88.35193 35.79998),0,0,2,3,0,0,0,2,2,4,2,3,0
35.7999,-88.35307,Property Damage,POINT (-88.35307 35.79989999999999),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79953,-88.35512,Property Damage,POINT (-88.35511999999999 35.79953),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79935,-88.3563,Property Damage,POINT (-88.35629999999999 35.79934999999999),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79922,-88.35719,Property Damage,POINT (-88.35718999999999 35.79922),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79885,-88.35947,Property Damage,POINT (-88.35947 35.798849999999995),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79874,-88.36,Property Damage,POINT (-88.36 35.798739999999995),0,0,2,3,0,0,0,2,2,4,2,3,0
35.79808,-88.36168,Property Damage,POINT (-88.36168000000002 35.79807999999999),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79792,-88.36226,Property Damage,POINT (-88.36226 35.79792),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79785,-88.36249,Property Damage,POINT (-88.36249 35.79785),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79693,-88.36515,Property Damage,POINT (-88.36515000000001 35.79693000000001),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79664,-88.36657,Property Damage,POINT (-88.36657 35.79664),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79572,-88.36827,Property Damage,POINT (-88.36827000000001 35.79572000000001),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79482,-88.37134,Property Damage,POINT (-88.37134 35.79482),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79474,-88.37152,Property Damage,POINT (-88.37152 35.79473999999999),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79377,-88.37405,Property Damage,POINT (-88.37404999999998 35.79377),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79327,-88.37538,Property Damage,POINT (-88.37538 35.79327),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79215,-88.37765,Property Damage,POINT (-88.37764999999999 35.79215),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79206,-88.37856,Property Damage,POINT (-88.37856 35.79206),1,0,2,3,none,0,0,3,2,4,2,3,0
35.79206,-88.37856,Property Damage,POINT (-88.37856 35.79206),1,0,2,3,none,0,0,3,2,4,2,3,0
35.79166,-88.37892,Property Damage,POINT (-88.37892 35.79165999999999),1,0,2,3,none,0,0,3,2,4,2,3,0
35.79166,-88.37892,Property Damage,POINT (-88.37892 35.79165999999999),1,0,2,3,none,0,0,3,2,4,2,3,0
35.79156,-88.37994,Property Damage,POINT (-88.37993999999999 35.79156),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79078,-88.38302,Property Damage,POINT (-88.38302 35.79078),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79039,-88.38391,Property Damage,POINT (-88.38391 35.790389999999995),0,0,2,3,none,0,0,3,2,4,2,3,0
35.79054,-88.38455,Property Damage,POINT (-88.38454999999999 35.79054),0,0,2,3,1,0,0,3,2,4,2,3,0
35.79022,-88.3864,Property Damage,POINT (-88.38639999999998 35.79022),0,0,2,3,1,0,0,3,2,4,2,3,0
35.7899,-88.38829,Property Damage,POINT (-88.38829 35.789899999999996),0,0,2,3,1,0,0,3,2,4,2,3,0
35.7896,-88.38872,Property Damage,POINT (-88.38872 35.78959999999999),0,0,2,3,1,0,0,3,2,4,2,3,0
35.78943,-88.38917,Property Damage,POINT (-88.38916999999998 35.789429999999996),0,0,2,3,1,0,0,3,2,4,2,3,0
35.7894,-88.38994,Property Damage,POINT (-88.38994 35.7894),0,0,2,3,1,0,0,3,2,4,2,3,1
35.7899,-88.39078,Property Damage,POINT (-88.39077999999999 35.789899999999996),0,0,2,3,1,0,0,3,2,4,2,3,1
35.78879,-88.39125,Property Damage,POINT (-88.39125 35.78878999999999),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78992,-88.39142,Property Damage,POINT (-88.39142 35.78992),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78985,-88.39166,Property Damage,POINT (-88.39166 35.78985),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78984,-88.39166,Property Damage,POINT (-88.39166 35.78983999999999),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78913,-88.39173,Property Damage,POINT (-88.39173 35.78912999999999),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78884,-88.39177,Property Damage,POINT (-88.39177 35.78883999999999),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78863,-88.39179,Property Damage,POINT (-88.39178999999999 35.78862999999999),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78864,-88.39182,Property Damage,POINT (-88.39182 35.78864),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78862,-88.39183,Property Damage,POINT (-88.39182999999998 35.78862),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78907,-88.39209,Property Damage,POINT (-88.39208999999998 35.78907),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78931,-88.39213,Property Damage,POINT (-88.39212999999998 35.78931),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78921,-88.39249,Property Damage,POINT (-88.39249 35.78921),1,0,2,3,1,0,0,3,2,4,2,3,1
35.78858,-88.39318,Property Damage,POINT (-88.39317999999999 35.788579999999996),0,0,2,3,1,0,0,3,2,4,2,3,1
35.78856,-88.39491,Property Damage,POINT (-88.39491 35.78855999999999),0,0,2,3,1,0,0,3,2,4,2,3,0
35.78807,-88.39692,Property Damage,POINT (-88.39691999999998 35.78807),0,0,2,3,1,0,0,3,2,4,2,3,0
35.78826,-88.39713,Property Damage,POINT (-88.39713 35.78826),0,0,2,3,1,0,0,3,2,4,2,3,0
35.78768,-88.3988,Property Damage,POINT (-88.39879999999998 35.787679999999995),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78675,-88.40132,Property Damage,POINT (-88.40131999999998 35.78674999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78653,-88.40191,Property Damage,POINT (-88.40190999999999 35.786530000000006),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78616,-88.4022,Property Damage,POINT (-88.4022 35.78616),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78494,-88.40547,Property Damage,POINT (-88.40546999999998 35.78494),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78499,-88.40606,Property Damage,POINT (-88.40606 35.78498999999999),1,0,2,3,0,0,0,3,2,4,2,3,0
35.78452,-88.4073,Property Damage,POINT (-88.40729999999999 35.78451999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78386,-88.40837,Property Damage,POINT (-88.40836999999999 35.78385999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78219,-88.41288,Property Damage,POINT (-88.41288 35.78218999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78223,-88.41346,Property Damage,POINT (-88.41345999999999 35.78223),0,0,2,3,0,0,0,3,2,4,2,3,0
35.78121,-88.41549,Property Damage,POINT (-88.41549 35.781209999999994),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77961,-88.4198,Property Damage,POINT (-88.4198 35.77961),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77928,-88.42136,Property Damage,POINT (-88.42135999999999 35.77928000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77892,-88.42167,Property Damage,POINT (-88.42167 35.77891999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77872,-88.4229,Property Damage,POINT (-88.42289999999998 35.77872000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77868,-88.42298,Property Damage,POINT (-88.42298 35.77868),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77824,-88.42416,Property Damage,POINT (-88.42416 35.77824),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77699,-88.42757,Property Damage,POINT (-88.42756999999999 35.77699),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77543,-88.43103,Property Damage,POINT (-88.43102999999999 35.77543),1,0,2,3,0,0,0,3,2,4,2,3,0
35.77431,-88.43481,Property Damage,POINT (-88.43481 35.77430999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77291,-88.43954,Property Damage,POINT (-88.43953999999998 35.77291000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.7725,-88.44014,Property Damage,POINT (-88.44014 35.7725),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77235,-88.44072,Property Damage,POINT (-88.44072 35.77235),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77229,-88.44094,Property Damage,POINT (-88.44093999999998 35.77228999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77239,-88.44105,Property Damage,POINT (-88.44105000000002 35.77239000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77224,-88.44211,Property Damage,POINT (-88.44211 35.772240000000004),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77152,-88.44499,Property Damage,POINT (-88.44498999999999 35.77152),0,0,2,3,0,0,0,3,2,4,2,3,0
35.77041,-88.44936,Property Damage,POINT (-88.44936 35.77040999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76997,-88.45109,Property Damage,POINT (-88.45108999999998 35.76997),0,0,2,3,0,0,0,3,2,4,2,3,0
35.7698,-88.45123,Property Damage,POINT (-88.45123 35.76979999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76993,-88.45125,Property Damage,POINT (-88.45125 35.769929999999995),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76987,-88.45145,Property Damage,POINT (-88.45144999999998 35.76986999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.7695,-88.45291,Property Damage,POINT (-88.45291 35.769499999999994),1,0,2,3,0,0,0,3,2,4,2,3,0
35.76841,-88.45719,Property Damage,POINT (-88.45719 35.76841000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76823,-88.45792,Property Damage,POINT (-88.45792 35.76823000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76821,-88.45801,Property Damage,POINT (-88.45801 35.768209999999996),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76826,-88.45819,Property Damage,POINT (-88.45818999999999 35.76826),0,0,2,3,0,0,0,3,2,4,2,3,0
35.7674,-88.46036,Property Damage,POINT (-88.46036 35.767399999999995),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76733,-88.46047,Property Damage,POINT (-88.46047 35.76733),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76752,-88.46071,Property Damage,POINT (-88.46070999999999 35.76752),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76742,-88.46111,Property Damage,POINT (-88.46111 35.76741999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76561,-88.46823,Property Damage,POINT (-88.46823 35.76561),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76551,-88.46864,Property Damage,POINT (-88.46863999999998 35.76550999999999),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76545,-88.46885,Property Damage,POINT (-88.46885 35.765449999999994),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76476,-88.47061,Property Damage,POINT (-88.47061 35.76476000000001),0,0,2,3,0,0,0,3,2,4,2,3,0
35.76417,-88.47385,Property Damage,POINT (-88.47385 35.76417),0,0,2,3,0,0,4,3,2,4,2,3,0
35.7636,-88.47509,Property Damage,POINT (-88.47509 35.7636),0,0,2,3,0,0,4,3,2,4,2,3,0
35.7635,-88.47551,Property Damage,POINT (-88.47550999999999 35.7635),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76323,-88.47658,Property Damage,POINT (-88.47658 35.76323),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76308,-88.47717,Property Damage,POINT (-88.47717 35.76308),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76317,-88.47801,Property Damage,POINT (-88.47800999999998 35.76317),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76282,-88.47824,Property Damage,POINT (-88.47824 35.76282),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76253,-88.48034,Property Damage,POINT (-88.48033999999998 35.76252999999999),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76242,-88.48069,Property Damage,POINT (-88.48068999999998 35.76241999999999),0,0,2,3,0,0,4,3,2,4,2,3,0
35.7619,-88.48271,Property Damage,POINT (-88.48270999999998 35.7619),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76117,-88.48466,Property Damage,POINT (-88.48466 35.76117000000001),0,0,2,3,0,0,4,3,2,4,2,3,0
35.76082,-88.48698,Property Damage,POINT (-88.48698 35.76082),1,0,2,3,0,0,4,3,2,4,2,3,0
35.76054,-88.48997,Property Damage,POINT (-88.48996999999999 35.76053999999999),0,0,2,3,0,0,4,3,2,4,2,3,0
35.75958,-88.4919,Property Damage,POINT (-88.4919 35.75957999999999),0,0,2,3,0,0,4,3,2,4,2,3,0
35.75954,-88.49207,Property Damage,POINT (-88.49206999999998 35.75954),0,0,2,3,0,0,4,3,2,4,2,3,0
35.75891,-88.49451,Property Damage,POINT (-88.49451000000002 35.75890999999999),0,0,2,3,0,0,4,3,2,4,2,3,0
35.75758,-88.49876,Property Damage,POINT (-88.49876 35.75758),0,0,2,3,0,0,4,3,2,4,2,3,0
35.75777,-88.49901,Property Damage,POINT (-88.49901 35.75777),1,0,2,3,0,0,4,3,2,4,2,3,0
35.75718,-88.50133,Property Damage,POINT (-88.50132999999998 35.75718),1,0,2,3,0,0,4,3,2,4,2,3,0
35.75706,-88.5018,Property Damage,POINT (-88.5018 35.75706),1,0,2,3,0,0,4,3,2,4,2,3,0
35.75699,-88.50209,Property Damage,POINT (-88.50208999999998 35.756989999999995),1,0,2,3,0,0,4,3,2,4,2,3,0
35.75598,-88.5051,Property Damage,POINT (-88.5051 35.75598),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75617,-88.50538,Property Damage,POINT (-88.50537999999999 35.75617),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75616,-88.50539,Property Damage,POINT (-88.50539 35.756159999999994),0,none,2,3,0,0,4,3,2,4,2,3,0
35.7561,-88.50568,Property Damage,POINT (-88.50568 35.75610000000001),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75565,-88.50668,Property Damage,POINT (-88.50668 35.755649999999996),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75588,-88.50674,Property Damage,POINT (-88.50674 35.75587999999998),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75585,-88.5068,Property Damage,POINT (-88.5068 35.755849999999995),0,none,2,3,0,0,4,3,2,4,2,3,0
35.75554,-88.5086,Property Damage,POINT (-88.5086 35.75554),0,none,2,3,1,0,1,3,2,4,2,3,0
35.75524,-88.50888,Property Damage,POINT (-88.50888 35.75524),0,2,2,3,1,0,1,3,2,4,2,3,0
35.75547,-88.50895,Property Damage,POINT (-88.50895 35.75547),0,2,2,3,1,0,1,3,2,4,2,3,0
35.75521,-88.50904,Property Damage,POINT (-88.50904 35.75520999999999),0,2,2,3,1,0,1,3,2,4,2,3,0
35.7554,-88.50947,Property Damage,POINT (-88.50946999999998 35.755399999999995),0,2,2,3,1,0,1,3,2,4,2,3,0
35.7552,-88.51162,Property Damage,POINT (-88.51161999999998 35.755199999999995),0,2,2,3,1,0,1,3,2,4,2,3,0
35.75396,-88.51339,Property Damage,POINT (-88.51339 35.75396),1,0,2,3,1,0,1,3,2,4,2,3,0
35.75396,-88.51339,Property Damage,POINT (-88.51339 35.75396),1,0,2,3,1,0,1,3,2,4,2,3,0
