Feature & Classification,Longitude Ranges / Section 1 - James,Longitude Ranges /  Section 2 - John,Longitude Ranges /  Section 3 - James,Longitude Ranges / Section 4 - Yang,Longitude Ranges /  Section 5 - Chilambwe
2 = Shoulder only,-89.073096 to -88.889675,-88.888318 to -88.705593,-88.705593 to -88.555765,-88.555765 to -88.361287,-88.361287 to -88.198390
3 = Both centerline and shoulder,,,,,
Pavement condition,,,,,
0 = Unknown,,,,,
"1 = Poor (cracks, potholes)",,,-88.705593 to -88.555765,,
2 = Fair,,,,,-88.2665241 to -88.198390
3 = Good,-89.073096 to -88.889675,-88.889718 to -88.888042; -88.729059 to -88.705593,,-88.555765 to -88.361287, -88.361287 to -88.2765988
4 = Excellent (recently resurfaced),,-88.888042 to -88.729059,,,-88.2765988 to -88.2665241
Proximity to highway entrances and exits,,,,,
0 = Not near entrance/exit,-89.073096 to -89.059940; -89.047632 to -88.954007; -88.942793 to -88.928493; -88.911740 to -88.889675,-88.889718 to -88.876175; -88.869139 to -88.858984; -88.84564 to -88.836857; -88.733261 to -88.705593,-88.705593 to -88.639367; -88.626811 to -88.555765,-88.518305 to -88.555765; -88.507273 to -88.398416; 088.384432 to -88.361287,-88.361287 to -88.258997;  -88.244980 to
1 = Near entrance/ exit (≤400m),-89.059940 to -89.047632; -88.954007 to -88.942793; -88.928493 to -88.911740,-88.876175 to -88.869139; -88.858984 to -88.845640;  -88.836857 to -88.733261,-88.639367 to -88.626811,-88.518305 to -88.507273; -88.398416 to -88.384432,-88.258997 to  -88.244980;
Urban vs. rural environment,,,,,
0 = Rural,-89.073096 to -88.889675,-88.889718 to -88.876175; -88.869139 to -88.857458; -88.819502 to -88.705593,-88.705593 to -88.555765,-88.555765 to -88.361287,-88.361287 to -88.198390
1 = Suburban,,-88.876175 to -88.869139; -88.857458 to -88.819502,,,
2 = Urban,,,,,
Surrounding natural features,,,,,
0 = Open/plain,-89.063901 to -88.889675,-88.889718 to -88.705593,-88.705593 to -88.555765,-88.473443 to -88.361287,-88.361287 to -88.198390
1 = Forested/wooded,-89.073096 to -89.063901,,,-88.555765 to -88.508172,
2 = Near water body,,,,,
3 = Hilly/rocky,,,,,
4 = Mixed or complex terrain,,,,-88.508172 to -88.473443,
Number of lanes,,,,,
1 = One lane,,,,,
2 = Two lanes,-89.073096 to -88.889675,-88.889718 to -88.871121; -88.732402 to -88.705593,-88.705593 to -88.555765,,-88.361287 to -88.198390
3 = 3–4 lanes,,-88.871121 to -88.732402,,-88.555765 to -88.361287,
4 = 5+ lanes,,,,,
Shoulder type and width,,,,,
0 = No shoulder,,,,,
"1 = Narrow, unpaved",,,,,
"2 = Narrow, paved",-89.073096 to -88.889675,-88.889718 to -88.705593,-88.705593 to -88.640366; -88.625384 to -88.555765,-88.555765 to -88.361287,-88.361287 to -88.198390
"3 = Wide, unpaved",,,,,
"4 = Wide, paved",,,-88.640366 to -88.625384,,
Posted speed limit,,,,,
1 = ≤35 mph,,,,,
2 = 40–55 mph,-88.909851 to -88.889675,,,,
3 = 60–65 mph,,-88.885699 to -88.76178,,,
4 = 70+ mph,-89.073096 to -88.909851,-88.76178 to -88.705593,-88.705593 to -88.555765,-88.555765 to -88.361287,-88.361287 to -88.198390
Presence and type of median or divider,,,,,
0 = None,,,,,
1 = Painted median,,,,,
2 = Grass median,-89.073096 to -88.889675,-88.889718 to -88.883657; -88.729131 to -88.705593,-88.705593 to -88.555765,-88.555765 to -88.361287,-88.361287 to -88.3489316; -88.345331 to -88.331305; -88.328500 to -88.309877; -88.308706 to -88.306445; -88.243730 to -88.241661; -88.239357 to -88.238030; -88.236858 to -88.228541; -88.225379 to -88.223856; -88.220459 to -88.216984; -88.214095 to -88.211283; -88.205973 to -88.198390
3 = Raised concrete divider,,-88.883657 to -88.729131,,,-88.3489316 to -88.345331
4 = Guardrail or cable divider,,,,, -88.331305 to -88.328500; -88.309877 to -88.308706; -88.306445 to -88.243730; -88.241661 to -88.239357; -88.238030 to -88.236858; -88.228541 to -88.225379; -88.223856 to -88.220459; -88.216984 to -88.214095; -88.211283 to -88.205973;
Lane markings and signage visibility,,,,,
0 = Missing or faded,,,,,
1 = Poor,,,,,-88.3489316 to -88.3368951
2 = Average,,,-88.705593 to -88.555765,,"-88.361287 to -88.3607816; -88.3368951 to -88.19839"
3 = Clear and visible,-89.073096 to -88.889675,-88.889718  to -88.705593,,-88.555765 to -88.361287,-88.3607816 to -88.3489316; -88.3368951 to -88.3388951
4 = Fresh or high-reflectivity,,,,,
Nighttime lighting and visibility,,,,,
0 = No lighting,-89.073096 to -88.889675,-88.889718 to -88.883681;-88.729059 to -88.705593,-88.705593 to -88.555765,-88.555765 to -88.394833; -88.389486 to -88.361287,-88.361287 to -88.198390
"1 = Poor (e.g., sparse or non-functional)",,,,-88.394833 to -88.389486,
2 = Moderate,,-88.883681 to -88.729059,,,
3 = Well-lit,,,,,
